티커,종목,시장
008870,금비,STK
001570,금양,STK
282720,금양그린파워,KSQ
002990,금호건설,STK
002995,금호건설우,STK
011780,금호석유화학,STK
011785,금호석유화학우,STK
214330,금호에이치티,STK
001210,금호전기,STK
073240,금호타이어,STK
036190,금화피에스시,KSQ
049080,기가레인,KSQ
420770,기가비스,KSQ
282620,기도산업,KSQ
035460,기산텔레콤,KSQ
092440,기신정기,STK
000270,기아,STK
024110,기업은행,STK
013700,까뮤이앤씨,STK
004540,깨끗한나라,STK
004545,깨끗한나라우,STK
407400,꿈비,KSQ
187790,나노,KSQ
238540,나노솔루션,KNX
121600,나노신소재,KSQ
286750,나노실리칸첨단소재,KSQ
247660,나노씨엠에스,KSQ
039860,나노엔텍,KSQ
417010,나노팀,KSQ
244880,나눔테크,KNX
405920,나라셀라,KSQ
478340,나라스페이스테크놀로지,KSQ
051490,나라엠앤디,KSQ
137080,나래나노텍,KSQ
190510,나무가,KSQ
242040,나무에이엑스,KSQ
293580,나우IB,KSQ
459510,나우로보틱스,KSQ
138610,나이벡,KSQ
130580,나이스디앤비,KSQ
036800,나이스정보통신,KSQ
366030,나인앤컴퍼니,KSQ
267320,나인테크,KSQ
001260,남광토건,STK
008350,남선알미늄,STK
008355,남선알미우,STK
004270,남성,STK
003920,남양유업,STK
003925,남양유업우,STK
025860,남해화학,STK
111710,남화산업,KSQ
091590,남화토건,KSQ
168330,내츄럴엔도텍,KSQ
094860,네오리진,KSQ
0218L0,네오뷰,KSQ
253590,네오셈,KSQ
212560,네오오토,KSQ
095660,네오위즈,KSQ
042420,네오위즈홀딩스,KSQ
950220,네오이뮨텍,KSQ
311390,네오크레마,KSQ
085910,네오티스,KSQ
092730,네오팜,KSQ
153460,네이블,KSQ
007390,네이처셀,KSQ
033640,네패스,KSQ
330860,네패스아크,KSQ
351320,넥사다이내믹스,KSQ
005720,넥센,STK
005725,넥센우,STK
002350,넥센타이어,STK
002355,넥센타이어1우B,STK
089140,넥스턴앤롤코리아,KSQ
389650,넥스트바이오메디컬,KSQ
137940,넥스트아이,KSQ
396270,넥스트칩,KSQ
348210,넥스틴,KSQ
092790,넥스틸,STK
225570,넥슨게임즈,KSQ
205500,넥써쓰,KSQ
217270,넵튠,KSQ
251270,넷마블,STK
317860,노드메이슨,KNX
104620,노랑풍선,KSQ
090350,노루페인트,STK
090355,노루페인트우,STK
000320,노루홀딩스,STK
000325,노루홀딩스우,STK
473980,노머스,KSQ
194700,노바렉스,KSQ
285490,노바텍,KSQ
145170,노브랜드,KSQ
229500,노브메타파마,KNX
376930,노을,KSQ
486990,노타,KSQ
006280,녹십자,STK
142280,녹십자엠에스,KSQ
234690,녹십자웰빙,KSQ
005250,녹십자홀딩스,STK
005257,녹십자홀딩스2우,STK
004370,농심,STK
072710,농심홀딩스,STK
069140,누리플랜,KSQ
040160,누리플렉스,KSQ
332290,누보,KSQ
348340,뉴로메카,KSQ
380550,뉴로핏,KSQ
060260,뉴보텍,KSQ
463020,뉴엔AI,KSQ
123840,뉴온,KSQ
012340,뉴인텍,KSQ
462310,뉴키즈온,KSQ
270870,뉴트리,KSQ
144960,뉴파워프라즈마,KSQ
085670,뉴프렉스,KSQ
417030,니어스랩,KSQ
064260,다날,KSQ
