티커,종목,시장
047560,이스트소프트,KSQ
239340,이스트에이드,KSQ
067010,이씨에스,KSQ
456070,이엔셀,KSQ
102710,이엔에프테크놀로지,KSQ
074610,이엔플러스,STK
041520,이엘씨,KSQ
063760,이엘피,KSQ
123570,이엠넷,KSQ
083470,이엠앤아이,KSQ
091120,이엠텍,KSQ
232530,이엠티,KNX
102460,이연제약,STK
039030,이오테크닉스,KSQ
294090,이오플로우,KSQ
088290,이원컴포텍,KSQ
084680,이월드,STK
353810,이지바이오,KSQ
261520,이지스,KSQ
350520,이지스레지던스리츠,STK
334890,이지스밸류플러스리츠,STK
099750,이지케어텍,KSQ
377330,이지트로닉스,KSQ
035810,이지홀딩스,KSQ
092130,이크레더블,KSQ
134060,이퓨쳐,KSQ
001840,이화공영,KSQ
000760,이화산업,STK
014990,인디에프,STK
041830,인바디,KSQ
352940,인바이오,KSQ
101140,인바이오젠,STK
216400,인바이츠바이오코아,KNX
079950,인베니아,KSQ
0007J0,인벤테라,KSQ
389470,인벤티지랩,KSQ
277410,인산가,KSQ
060150,인선이엔티,KSQ
033230,인성정보,KSQ
450520,인스웨이브,KSQ
465480,인스피언,KSQ
950260,인제니아테라퓨틱스(Reg.S),KSQ
037330,인지디스플레,KSQ
100030,인지소프트,KSQ
023800,인지컨트롤스,STK
034590,인천도시가스,STK
211050,인카금융서비스,KSQ
083640,인콘,KSQ
064090,인크레더블버즈,KSQ
216050,인크로스,KSQ
049070,인탑스,KSQ
311960,인터로이드,KNX
119610,인터로조,KSQ
017250,인터엠,KSQ
129260,인터지스,STK
051370,인터플렉스,KSQ
064290,인텍플러스,KSQ
189300,인텔리안테크,KSQ
287840,인투셀,KSQ
048530,인트론바이오,KSQ
070590,인티큐브,KSQ
023810,인팩,STK
115310,인포바인,KSQ
039290,인포뱅크,KSQ
071200,인피니트헬스케어,KSQ
101930,인화정공,KSQ
249420,일동제약,STK
000230,일동홀딩스,STK
013360,일성건설,STK
003120,일성아이에스,STK
333430,일승,KSQ
068330,일신바이오,KSQ
003200,일신방직,STK
007110,일신석재,STK
007570,일양약품,STK
007575,일양약품우,STK
178780,일월지엠엘,KSQ
019540,일지테크,KSQ
081000,일진다이아,STK
020760,일진디스플,STK
103590,일진전기,STK
094820,일진파워,KSQ
271940,일진하이솔루스,STK
015860,일진홀딩스,STK
226320,잇츠한불,STK
950140,잉글우드랩,KSQ
049550,잉크테크,KSQ
389020,자람테크놀로지,KSQ
254120,자비스,KSQ
043910,자연과환경,KSQ
234920,자이글,KSQ
289220,자이언트스텝,KSQ
317400,자이에스앤디,STK
033240,자화전자,STK
049630,재영솔루텍,KSQ
417840,저스템,KSQ
000950,전방,STK
079900,전진건설로봇,STK
110020,전진바이오팜,KSQ
208140,정다운,KSQ
040420,정상제이엘에스,KSQ
045510,정원엔시스,KSQ
217190,제너셈,KSQ
095700,제넥신,KSQ
122310,제노레이,KSQ
361390,제노코,KSQ
066830,제노텍,KNX
225220,제놀루션,KSQ
123330,제닉,KSQ
381620,제닉스로보틱스,KSQ
159580,제로투세븐,KSQ
147830,제룡산업,KSQ
033100,제룡전기,KSQ
079370,제우스,KSQ
054950,제이브이엠,KSQ
090470,제이스로보틱스,KSQ
023440,제이스코홀딩스,KSQ
137950,제이씨케미칼,KSQ
033320,제이씨현시스템,KSQ
417500,제이아이테크,KSQ
348950,제이알글로벌리츠,STK
204270,제이앤티씨,KSQ
127120,제이에스링크,KSQ
194370,제이에스코퍼레이션,STK
026040,제이에스티나,KSQ
452160,제이엔비,KSQ
126880,제이엔케이글로벌,KSQ
322510,제이엘케이,KSQ
254160,제이엠멀티,KNX
033050,제이엠아이,KSQ
094970,제이엠티,KSQ
418550,제이오,KSQ
060230,제이케이시냅스,KSQ
420570,제이투케이바이오,KSQ
089790,제이티,KSQ
0010V0,제이피아이헬스케어,KSQ
030000,제일기획,STK
271980,제일약품,STK
412540,제일엠앤에스,KSQ
001560,제일연마,STK
199820,제일일렉트릭,KSQ
038010,제일테크노스,KSQ
002620,제일파마홀딩스,STK
080220,제주반도체,KSQ
006220,제주은행,STK
089590,제주항공,STK
216080,제테마,KSQ
337930,젝시믹스,KSQ
229000,젠큐릭스,KSQ
082270,젬백스,KSQ
153890,져스텍,KSQ
004910,조광페인트,STK
004700,조광피혁,STK
001550,조비,STK
462520,조선내화,STK
120030,조선선재,STK
034940,조아제약,KSQ
067000,조이시티,KSQ
309930,조이웍스앤코,KSQ
018470,조일알미늄,STK
002600,조흥,STK
018700,졸스,KSQ
185750,종근당,STK
063160,종근당바이오,STK
001630,종근당홀딩스,STK
033340,좋은사람들,KSQ
036930,주성엔지니어링,KSQ
109070,주성코퍼레이션,STK
044380,주연테크,STK
072020,중앙백신,KSQ
000440,중앙에너비스,KSQ
051980,중앙첨단소재,KSQ
221800,지구홀딩스,KSQ
228760,지노믹트리,KSQ
314130,지놈앤컴퍼니,KSQ
013890,지누스,STK
389030,지니너스,KSQ
263860,지니언스,KSQ
303030,지니틱스,KSQ
208350,지란지교시큐리티,KSQ
446840,지슨,KSQ
144510,지씨셀,KSQ
340450,지씨지놈,KSQ
306620,지아이에스,KSQ
358570,지아이이노베이션,KSQ
382480,지아이텍,KSQ
382800,지앤비에스 에코,KSQ
299480,지앤이헬스케어,KNX
051160,지어소프트,KSQ
053050,지에스이,KSQ
076340,지에이이노더스,KNX
388610,지에프씨생명과학,KSQ
493330,지에프아이,KSQ
119850,지엔씨에너지,KSQ
065060,지엔코,KSQ
204840,지엘팜텍,KSQ
013870,지엠비코리아,STK
071320,지역난방공사,STK
311320,지오엘리먼트,KSQ
456160,지투지바이오,KSQ
388050,지투파워,KSQ
088790,진도,STK
018120,진로발효,KSQ
109820,진매트릭스,KSQ
086060,진바이오텍,KSQ
036890,진성티이씨,KSQ
363250,진시스템,KSQ
003780,진양산업,STK
007370,진양제약,KSQ
010640,진양폴리,STK
100250,진양홀딩스,STK
051630,진양화학,STK
272450,진에어,STK
285800,진영,KSQ
011000,진원생명과학,STK
250030,진코스텍,KNX
002780,진흥기업,STK
002787,진흥기업2우B,STK
002785,진흥기업우B,STK
233990,질경이,KNX
025620,차AI헬스케어,STK
085660,차바이오텍,KSQ
351870,차이커뮤니케이션,KSQ
009310,참엔지니어링,STK
094850,참좋은여행,KSQ
004650,창해에탄올,KSQ
0011T0,채비,KSQ
278280,천보,KSQ
000650,천일고속,STK
362320,청담글로벌,KSQ
013720,청보,KSQ
066360,체리부로,KSQ
033250,체시스,STK
047820,초록뱀미디어,KSQ
291650,츌립앤사이언스,KSQ
094360,칩스앤미디어,KSQ
0082N0,카나프테라퓨틱스,KSQ
016920,카스,KSQ
284620,카이노스메드,KSQ
035720,카카오,STK
293490,카카오게임즈,KSQ
323410,카카오뱅크,STK
377300,카카오페이,STK
140430,카티스,KSQ
042000,카페24,KSQ
006380,카프로,STK
313760,캐리,KSQ
071850,캐스텍코리아,KSQ
198080,캐프,KSQ
210120,캔버스엔,KSQ
050110,캠시스,KSQ
452300,캡스톤파트너스,KSQ
451760,컨텍,KSQ
900310,컬러레이,KSQ
078340,컴투스,KSQ
291230,컴투스엔,KSQ
063080,컴투스홀딩스,KSQ
307930,컴퍼니케이,KSQ
079190,케스피온,KSQ
263700,케어랩스,KSQ
214370,케어젠,KSQ
221980,케이디켐,KSQ
038530,케이바이오랩스,KSQ
279570,케이뱅크,STK
001620,케이비아이동국실업,STK
192250,케이사인,KSQ
431190,케이쓰리아이,KSQ
029460,케이씨,STK
115500,케이씨에스,KSQ
281820,케이씨텍,STK
089150,케이씨티,KSQ
025880,케이씨피드,KSQ
093320,케이아이엔엑스,KSQ
093640,케이알엠,KSQ
487400,케이앤에스아이앤씨,KSQ
073010,케이에스피,KSQ
105330,케이엔더블유,KSQ
053080,케이엔솔,KSQ
199430,케이엔알시스템,KSQ
432470,케이엔에스,KSQ
272110,케이엔제이,KSQ
039420,케이엘넷,KSQ
083550,케이엠,KSQ
032500,케이엠더블유,KSQ
225430,케이엠제약,KSQ
102370,케이옥션,KSQ
068100,케이웨더,KSQ
106080,케이이엠텍,KSQ
455180,케이지에이,KSQ
381970,케이카,STK
145270,케이탑리츠,STK
036030,케이티알파,KSQ
064820,케이프,KSQ
024880,케이피에프,KSQ
042040,케이피엠테크,KSQ
054410,케이피티유,KSQ
288180,케이피항공산업,KSQ
258610,케일럼,KSQ
274090,켄코아에어로스페이스,KSQ
402420,켈스,KNX
089010,켐트로닉스,KSQ
220260,켐트로스,KSQ
176590,코나솔,KNX
052400,코나아이,KSQ
402030,코난테크놀로지,KSQ
391710,코닉오토메이션,KSQ
046070,코다코,KSQ
047770,코데즈컴바인,KSQ
080530,코디,KSQ
417310,코람코더원리츠,STK
357120,코람코라이프인프라리츠,STK
104540,코렌텍,KSQ
027050,코리아나,KSQ
007815,코리아써우,STK
007810,코리아써키트,STK
00781K,코리아써키트2우B,STK
190650,코리아에셋투자증권,KSQ
123410,코리아에프티,KSQ
003690,코리안리,STK
036690,코맥스,KSQ
049430,코메론,KSQ
183300,코미코,KSQ
041960,코미팜,KSQ
089890,코세스,KSQ
360350,코셈,KSQ
189350,코셋,KNX
082660,코스나인,KSQ
043710,코스리거글로벌,KSQ
192820,코스맥스,STK
044820,코스맥스비티아이,STK
222040,코스맥스엔비티,KSQ
241710,코스메카코리아,KSQ
439960,코스모로보틱스,KSQ
005070,코스모신소재,STK
005420,코스모화학,STK
355150,코스텍시스,KSQ
169670,코스텍시스템,KNX
071950,코아스,STK
166480,코아스템켐온,KSQ
045970,코아시아,KSQ
196450,코아시아씨엠,KSQ
384470,코어라인소프트,KSQ
002020,코오롱,STK
003070,코오롱글로벌,STK
003075,코오롱글로벌우,STK
102940,코오롱생명과학,KSQ
002025,코오롱우,STK
120110,코오롱인더,STK
120115,코오롱인더우,STK
950160,코오롱티슈진,KSQ
021240,코웨이,STK
056360,코위버,KSQ
282880,코윈테크,KSQ
121850,코이즈,KSQ
448710,코츠테크놀로지,KSQ
126730,코칩,KSQ
015710,코콤,KSQ
052330,코텍,KSQ
322780,코퍼스코리아,KSQ
036420,콘텐트리중앙,STK
215380,콜마바이오텍,KSQ
200130,콜마비앤에이치,KSQ
024720,콜마홀딩스,STK
294570,쿠콘,KSQ
192400,쿠쿠홀딩스,STK
284740,쿠쿠홈시스,STK
464490,쿼드메디슨,KSQ
317690,퀀타매트릭스,KSQ
070300,퀀텀레일,KSQ
432720,퀄리타스반도체,KSQ
456190,큐라켐,KNX
365270,큐라클,KSQ
348080,큐라티스,KSQ
060280,큐렉소,KSQ
372320,큐로셀,KSQ
051780,큐로홀딩스,KSQ
115180,큐리언트,KSQ
494120,큐리오시스,KSQ
445680,큐리옥스바이오시스템즈,KSQ
182360,큐브엔터,KSQ
405100,큐알티,KSQ
066310,큐에스아이,KSQ
377460,큐에이드,KSQ
136660,큐엠씨,KNX
016600,큐캐피탈,KSQ
355390,크라우드웍스,KSQ
264900,크라운제과,STK
26490K,크라운제과우,STK
005740,크라운해태홀딩스,STK
005745,크라운해태홀딩스우,STK
259960,크래프톤,STK
096240,크레버스,KSQ
040350,크레오에스지,KSQ
215570,크로넥스,KNX
110790,크리스에프앤씨,KSQ
900250,크리스탈신소재,KSQ
045520,크린앤사이언스,KSQ
214150,클래시스,KSQ
466100,클로봇,KSQ
237880,클리오,KSQ
139670,키네마스터,KSQ
020120,키다리스튜디오,STK
475430,키스트론,KSQ
487720,키움제10호스팩,KSQ
489480,키움제11호스팩,KSQ
039490,키움증권,STK
466690,키움히어로제1호스팩,KSQ
0131D0,키움히어로제2호스팩,KSQ
054780,키이스트,KSQ
256940,킵스파마,KSQ
336040,타스컴,KNX
219130,타이거일렉,KSQ
346010,타이드,KNX
318660,타임기술,KNX
476710,타조이엔터테인먼트,KNX
434190,탈로스,KNX
336680,탑런토탈솔루션,KSQ
360070,탑머티리얼,KSQ
180060,탑선,KNX
065130,탑엔지니어링,KSQ
134580,탑코미디어,KSQ
014580,태경비케이,STK
015890,태경산업,STK
006890,태경케미컬,STK
023160,태광,KSQ
003240,태광산업,STK
011280,태림포장,STK
323280,태성,KSQ
053620,태양,KSQ
052960,태양3C,KNX
004100,태양금속,STK
004105,태양금속우,STK
116100,태양기계,KNX
009410,태영건설,STK
009415,태영건설우,STK
044490,태웅,KSQ
124560,태웅로직스,KSQ
001420,태원물산,STK
191420,테고사이언스,KSQ
950250,테라뷰,KSQ
073640,테라사이언스,KSQ
066700,테라젠이텍스,KSQ
095610,테스,KSQ
055490,테이팩스,STK
064520,테크엘,KSQ
089030,테크윙,KSQ
258050,테크트랜스,KNX
054450,텔레칩스,KSQ
078000,텔코웨어,STK
200230,텔콘RF제약,KSQ
214420,토니모리,STK
393210,토마토시스템,KSQ
475960,토모큐브,KSQ
215480,토박스코리아,KSQ
051360,토비스,KSQ
045340,토탈소프트,KSQ
108230,톱텍,KSQ
079970,투비소프트,KSQ
199800,툴젠,KSQ
417790,트루엔,KSQ
091810,트리니티항공,STK
290090,트윔,KSQ
026150,특수건설,KSQ
464280,티디에스팜,KSQ
117730,티로보틱스,KSQ
033830,티비씨,KSQ
057680,티사이언티픽,KSQ
204610,티쓰리,KSQ
125020,티씨머티리얼즈,KSQ
064760,티씨케이,KSQ
246710,티앤알바이오팹,KSQ
340570,티앤엘,KSQ
043220,티에스넥스젠,KSQ
277880,티에스아이,KSQ
131290,티에스이,KSQ
019180,티에이치엔,STK
425420,티에프이,KSQ
484810,티엑스알로보틱스,KSQ
131100,티엔엔터테인먼트,KSQ
356860,티엘비,KSQ
413300,티엘엔지니어링,KNX
217590,티엠씨,STK
363280,티와이홀딩스,STK
36328K,티와이홀딩스우,STK
321550,티움바이오,KSQ
004870,티웨이홀딩스,STK
425040,티이엠씨,KSQ
241790,티이엠씨씨엔에스,KSQ
022220,티케이지애강,KSQ
104480,티케이케미칼,KSQ
081150,티플랙스,KSQ
130740,티피씨글로벌,KSQ
217880,틸론,KNX
084730,팅크웨어,KSQ
440110,파두,KSQ
034230,파라다이스,STK
290560,파라택시스이더리움,KSQ
288330,파라택시스코리아,KSQ
033540,파라텍,KSQ
388870,파로스아이바이오,KSQ
043200,파루,KSQ
214450,파마리서치,KSQ
217950,파마리서치바이오,KNX
005690,파미셀,STK
177830,파버나인,KSQ
037070,파세코,KSQ
150900,파수AI,KSQ
037030,파워넷,KSQ
047310,파워로직스,KSQ
368770,파이버프로,KSQ
170790,파이오링크,KSQ
900100,파이온엑스,KSQ
049120,파인디앤씨,KSQ
038950,파인디지털,KSQ
387570,파인메딕스,KSQ
441270,파인엠텍,KSQ
106240,파인테크닉스,KSQ
131760,파인텍,KSQ
065690,파커스,KSQ
140860,파크시스템스,KSQ
091700,파트론,KSQ
202960,판도라티비,KNX
032800,판타지오,KSQ
318010,팜스빌,KSQ
036580,팜스코,STK
027710,팜스토리,KSQ
004720,팜젠사이언스,STK
266350,팡스카이,KNX
225590,패션플랫폼,KSQ
054300,팬스타엔터프라이즈,KSQ
068050,팬엔터테인먼트,KSQ
028670,팬오션,STK
222110,팬젠,KSQ
271830,팸텍,KSQ
010820,퍼스텍,STK
016800,퍼시스,STK
263750,펄어비스,KSQ
251970,펌텍코리아,KSQ
187660,페니트리움바이오,KSQ
0015S0,페스카로,KSQ
001020,페이퍼코리아,STK
168360,펨트론,KSQ
087010,펩트론,KSQ
090080,평화산업,STK
010770,평화홀딩스,STK
064800,포니링크,KSQ
119500,포메탈,KSQ
389140,포바이포,KSQ
105760,포스뱅크,KSQ
022100,포스코DX,STK
058430,포스코스틸리온,STK
009520,포스코엠텍,KSQ
047050,포스코인터내셔널,STK
003670,포스코퓨처엠,STK
189690,포시에스,KSQ
318020,포인트모바일,KSQ
256630,포인트엔지니어링,KSQ
331380,포커스에이아이,KSQ
208710,포톤,KSQ
472850,폰드그룹,KSQ
039980,폴라리스AI,KSQ
041910,폴라리스AI파마,KSQ
220180,폴라리스AI핸디,KSQ
234100,폴라리스세원,KSQ
041020,폴라리스오피스,KSQ
114630,폴라리스우노,KSQ
487580,폴레드,KSQ
290720,푸드나무,KSQ
005670,푸드웰,KSQ
094940,푸른로보틱스,KSQ
007330,푸른저축은행,KSQ
017810,풀무원,STK
093380,풍강,KSQ
023900,풍국주정,KSQ
103140,풍산,STK
005810,풍산홀딩스,STK
371950,풍원정밀,KSQ
298060,풍전약품,KSQ
370090,퓨런티어,KSQ
445180,퓨릿,KSQ
341170,퓨쳐메디신,KNX
220100,퓨쳐켐,KSQ
035200,프럼파스트,KSQ
334970,프레스티지바이오로직스,KSQ
950210,프레스티지바이오파마,STK
321260,프로이천,KSQ
296160,프로젠,KNX
053610,프로텍,KSQ
468530,프로티나,KSQ
303360,프로티아,KSQ
377220,프롬바이오,KSQ
335810,프리시젼바이오,KSQ
053160,프리엠스,KSQ
006490,프리티,STK
405000,플라즈맵,KSQ
041590,플래스크,KSQ
367000,플래티어,KSQ
075130,플랜티넷,KSQ
222670,플럼라인생명과학,KNX
237820,플레이디,KSQ
023770,플레이위드,KSQ
300080,플리토,KSQ
033790,피노,KSQ
032580,피델릭스,KSQ
0117P0,피스피스스튜디오,KSQ
051380,피씨디렉트,KSQ
241820,피씨엘,KSQ
452450,피아이이,KSQ
237750,피앤씨테크,KSQ
460940,피앤에스로보틱스,KSQ
319660,피에스케이,KSQ
031980,피에스케이홀딩스,KSQ
002230,피에스텍,KSQ
043370,피에이치에이,KSQ
239890,피엔에이치테크,KSQ
347740,피엔케이피부임상연구센타,KSQ
137400,피엔티,KSQ
257370,피엔티엠에스,KSQ
147760,피엠티,KSQ
128660,피제이메탈,KSQ
006140,피제이전자,KSQ
376180,피코그램,KSQ
304840,피플바이오,KSQ
087600,픽셀플러스,KSQ
291810,핀텔,KSQ
378340,필에너지,KSQ
161580,필옵틱스,KSQ
347770,핌스,KSQ
163730,핑거,KSQ
417180,핑거스토리,KSQ
469900,하나31호스팩,KSQ
475240,하나32호스팩,KSQ
475250,하나33호스팩,KSQ
484130,하나34호스팩,KSQ
0041L0,하나35호스팩,KSQ
0101C0,하나36호스팩,KSQ
086790,하나금융지주,STK
299030,하나기술,KSQ
067310,하나마이크론,KSQ
166090,하나머티리얼즈,KSQ
293480,하나제약,STK
039130,하나투어,STK
136480,하림,KSQ
003380,하림지주,KSQ
450330,하스,KSQ
101670,하이드로리튬,KSQ
365590,하이딥,KSQ
149980,하이로닉,KSQ
013030,하이록코리아,KSQ
352820,하이브,STK
126700,하이비젼시스템,KSQ
071090,하이스틸,STK
160190,하이젠알앤엠,KSQ
221840,하이즈항공,KSQ
106190,하이텍팜,KSQ
000080,하이트진로,STK
000087,하이트진로2우B,STK
000140,하이트진로홀딩스,STK
000145,하이트진로홀딩스우,STK
065650,하이퍼코퍼레이션,KSQ
066130,하츠,KSQ
004590,한국가구,KSQ
036460,한국가스공사,STK
039340,한국경제TV,KSQ
005430,한국공항,STK
071050,한국금융지주,STK
071055,한국금융지주우,STK
034950,한국기업평가,KSQ
010040,한국내화,STK
025540,한국단자,STK
222980,한국맥널티,KSQ
010100,한국무브넥스,STK
331660,한국미라클피플사,KNX
256840,한국비엔씨,KSQ
219750,한국비티비,KSQ
004090,한국석유,STK
025550,한국선재,KSQ
002200,한국수출포장,STK
002960,한국쉘석유,STK
017890,한국알콜,KSQ
000240,한국앤컴퍼니,STK
080720,한국유니온제약,KSQ
123890,한국자산신탁,STK
015760,한국전력,STK
041460,한국전자인증,KSQ
006200,한국전자홀딩스,STK
101680,한국정밀기계,KSQ
039740,한국정보공학,KSQ
053300,한국정보인증,KSQ
025770,한국정보통신,KSQ
479880,한국제15호스팩,KSQ
0164H0,한국제16호스팩,KSQ
027970,한국제지,STK
023350,한국종합기술,STK
025890,한국주강,STK
000970,한국주철관,STK
104700,한국철강,STK
062970,한국첨단소재,KSQ
017960,한국카본,STK
023760,한국캐피탈,KSQ
054040,한국컴퓨터,KSQ
161890,한국콜마,STK
021650,한국큐빅,KSQ
161390,한국타이어앤테크놀로지,STK
034830,한국토지신탁,STK
007280,한국특강,STK
032300,한국파마,KSQ
037230,한국팩키지,KSQ
448900,한국피아이엠,KSQ
047810,한국항공우주,STK
123690,한국화장품,STK
003350,한국화장품제조,STK
052600,한네트,KSQ
011500,한농화성,STK
002390,한독,STK
256150,한독크린텍,KSQ
092460,한라IMS,KSQ
125490,한라캐스트,KSQ
053690,한미글로벌,STK
042700,한미반도체,STK
008930,한미사이언스,STK
128940,한미약품,STK
452190,한빛레이저,KSQ
047080,한빛소프트,KSQ
009240,한샘,STK
452280,한선엔지니어링,KSQ
020000,한섬,STK
003680,한성기업,STK
066980,한성크린텍,KSQ
105630,한세실업,STK
069640,한세엠케이,STK
016450,한세예스24홀딩스,STK
009180,한솔로지스틱스,STK
114810,한솔아이원스,KSQ
213500,한솔제지,STK
014680,한솔케미칼,STK
004710,한솔테크닉스,STK
004150,한솔홀딩스,STK
025750,한솔홈데코,STK
042520,한스바이오메드,KSQ
004960,한신공영,STK
011700,한신기계,STK
430690,한싹,KSQ
078350,한양디지텍,KSQ
045100,한양이엔지,KSQ
001750,한양증권,STK
001755,한양증권우,STK
018880,한온시스템,STK
009420,한올바이오파마,STK
320000,한울반도체,KSQ
091440,한울소재과학,KSQ
276730,한울앤제주,KSQ
014130,한익스프레스,STK
024740,한일단조,KSQ
005860,한일사료,KSQ
300720,한일시멘트,STK
002220,한일철강,STK
003300,한일홀딩스,STK
007770,한일화학,KSQ
051600,한전KPS,STK
052690,한전기술,STK
130660,한전산업,STK
198940,한주라이트메탈,KSQ
058450,한주에이알티,KSQ
107640,한중엔시에스,KSQ
002320,한진,STK
003480,한진중공업홀딩스,STK
180640,한진칼,STK
18064K,한진칼우,STK
005110,한창,STK
079170,한창산업,KSQ
009460,한창제지,STK
030520,한컴,KSQ
372910,한컴라이프케어,STK
054920,한컴위드,KSQ
457370,한켐,KSQ
002680,한탑,KSQ
098070,한텍,KSQ
408470,한패스,KSQ
000880,한화,STK
00088K,한화3우B,STK
452260,한화갤러리아,STK
45226K,한화갤러리아우,STK
451800,한화리츠,STK
0220W0,한화머시너리앤서비스홀딩스,STK
0220WL,한화머시너리앤서비스홀딩스3우B,STK
489790,한화비전,STK
088350,한화생명,STK
000370,한화손해보험,STK
009830,한화솔루션,STK
009835,한화솔루션우,STK
272210,한화시스템,STK
012450,한화에어로스페이스,STK
082740,한화엔진,STK
042660,한화오션,STK
003530,한화투자증권,STK
003535,한화투자증권우,STK
498390,한화플러스제5호스팩,KSQ
195870,해성디에스,STK
034810,해성산업,KSQ
03481K,해성산업1우,KSQ
059270,해성에어로보틱스,KSQ
076610,해성옵틱스,KSQ
0155E0,해치텍,KSQ
101530,해태제과식품,STK
143210,핸즈코퍼레이션,STK
900270,헝셩그룹,KSQ
214180,헥토이노베이션,KSQ
234340,헥토파이낸셜,KSQ
084990,헬릭스미스,KSQ
000720,현대건설,STK
000725,현대건설우,STK
170030,현대공업,KSQ
453340,현대그린푸드,STK
086280,현대글로비스,STK
064350,현대로템,STK
079430,현대리바트,STK
012330,현대모비스,STK
319400,현대무벡스,KSQ
048410,현대바이오,KSQ
052260,현대바이오랜드,KSQ
069960,현대백화점,STK
004560,현대비앤지스틸,STK
016790,현대사료,KSQ
004310,현대약품,STK
041440,현대에버다임,KSQ
039010,현대에이치티,KSQ
017800,현대엘리베이터,STK
307950,현대오토에버,STK
011210,현대위아,STK
090850,현대이지웰,KSQ
004020,현대제철,STK
005440,현대지에프홀딩스,STK
005380,현대차,STK
005387,현대차2우B,STK
005389,현대차3우B,STK
005385,현대차우,STK
001500,현대차증권,STK
011760,현대코퍼레이션,STK
227840,현대코퍼레이션홀딩스,STK
126560,현대퓨처넷,STK
001450,현대해상,STK
460930,현대힘스,KSQ
092300,현우산업,KSQ
011080,형지I&C,KSQ
308100,형지글로벌,KSQ
093240,형지엘리트,STK
003010,혜인,STK
111110,호전실업,STK
008770,호텔신라,STK
008775,호텔신라우,STK
064240,홈캐스트,KSQ
039610,화성밸브,KSQ
378850,화승알앤에이,STK
241590,화승엔터프라이즈,STK
006060,화승인더,STK
013520,화승코퍼레이션,STK
010690,화신,STK
126640,화신정공,KSQ
133820,화인베스틸,STK
127980,화인써키트,KSQ
061250,화일약품,KSQ
010660,화천기계,STK
000850,화천기공,STK
016580,환인제약,STK
032560,황금에스티,STK
004800,효성,STK
094280,효성ITX,STK
097870,효성오앤비,KSQ
298040,효성중공업,STK
298020,효성티앤씨,STK
298000,효성화학,STK
093370,후성,STK
290270,휴네시온,KSQ
005870,휴니드,STK
353190,휴럼,KSQ
090710,휴림로봇,KSQ
078590,휴림에이텍,KSQ
205470,휴마시스,KSQ
115160,휴맥스,KSQ
028080,휴맥스홀딩스,KSQ
200670,휴메딕스,KSQ
079980,휴비스,STK
065510,휴비츠,KSQ
005010,휴스틸,STK
263920,휴엠앤씨,KSQ
243070,휴온스,KSQ
084110,휴온스글로벌,KSQ
145020,휴젤,KSQ
024060,흥구석유,KSQ
010240,흥국,KSQ
189980,흥국에프엔비,KSQ
000540,흥국화재,STK
000545,흥국화재우,STK
003280,흥아해운,STK
037440,희림,KSQ
238490,힘스,KSQ
